Qin,Qsolar,tin,tout
0,0,20.38772593,13.6
200,0,20.24179758,13.5
200,0,20.11135382,13.4
200,0,19.91992862,13.3
200,0,19.69225489,13.3
200,0,19.46524518,13.3
200,0,19.25379594,13.3
200,0,19.05657312,13.3
200,0,18.86869512,13.3
200,0,18.68782815,13.3
200,0,18.51322848,13.3
200,0,18.34531295,13.3
200,0,18.18477795,13.3
200,0,18.03164777,13.3
200,0,17.88487456,13.3
200,0,17.7441874,13.3
200,0,17.6156452,13.4
200,0,17.50003229,13.5
200,0,17.39518329,13.6
200,0,17.29941215,13.7
200,74.50399901,17.22638337,13.775
200,102.6322035,17.18170145,13.85
200,143.8682617,17.16475243,13.925
200,185.1536559,17.17283233,14
200,226.4323512,17.20459656,14.1
200,267.4072868,17.25733495,14.2
200,399.336788,17.34816841,14.3
200,523.0898139,17.50074894,14.4
200,645.1549011,17.73227456,14.625
200,765.9832196,17.931216,14.85
200,866.8316473,18.37806527,15.075
200,959.1176741,18.8129009,15.3
200,1050.999937,19.26963627,15.55
200,1167.093578,19.77073391,15.8
200,1253.52518,20.31052542,16.05
200,1345.511999,20.88070504,16.3
200,1448.67706,21.47897015,16.525
200,1564.601247,21.88333478,16.75
200,1702.708668,22.71242804,16.975
200,1836.187585,23.44754741,17.2
200,1977.61615,24.19168816,17.575
200,2124.21595,24.98265348,17.95
200,2236.650042,25.79982918,18.325
200,2345.106816,26.63257356,18.7
200,2446.793852,27.47742903,19.075
200,2539.077004,28.3319638,19.45
200,2524.39265,29.16789815,19.825
200,2540.117278,29.9705799,20.2
200,2540.658371,30.7456424,20.575
200,2525.295189,31.49089212,20.95
200,2511.648966,32.20868583,21.325
200,2482.007907,32.90123043,21.7
200,2436.537927,33.52906471,21.5
200,2375.886488,33.86419973,21.3
200,2262.682331,34.56126679,21.1
200,2140.849692,35.00206482,20.9
200,2013.398446,35.33228563,20.725
200,1887.080326,35.60326847,20.55
200,1736.07364,35.81195819,20.375
200,1600.151516,35.93933626,20.2
200,1481.003282,35.99099217,20
200,1378.788316,35.98434744,19.8
200,1236.934565,35.91943394,19.6
200,1119.66768,35.79600653,19.4
200,1019.948376,35.61990868,19.125
200,946.9256215,35.40580491,18.85
200,861.2048735,35.15927073,18.575
200,775.1143046,34.87854936,18.3
200,688.8293116,34.66012121,18.025
200,602.508147,34.22102575,17.75
200,492.3890361,33.81933847,17.475
200,393.5596425,33.38249301,17.2
200,296.4218882,32.90213247,16.925
200,191.6895822,32.38567142,16.65
200,151.9715798,31.8482832,16.375
200,112.3467553,31.30531853,16.1
200,72.91252041,30.76669692,15.95
200,0,30.22394931,15.8
200,0,29.68304432,15.65
200,0,29.15844299,15.5
200,0,28.65207293,15.375
200,0,28.16194201,15.25
200,0,27.6864262,15.125
200,0,27.22471908,15
200,0,26.77474939,14.85
200,0,26.33569802,14.7
200,0,25.90776195,14.55
200,0,25.4904415,14.4
200,0,25.08692878,14.3
200,0,24.69732788,14.2
200,0,24.31918539,14.1
200,0,23.95187569,14
200,0,23.59593952,13.925
200,0,23.25084191,13.85
200,0,22.91533468,13.775
200,0,22.58883261,13.7
200,0,22.26977629,13.6
200,0,21.95764288,13.5
200,0,21.65281678,13.4
200,0,21.35471974,13.3
200,0,21.06965963,13.35
200,0,20.80509447,13.4
200,0,20.55891036,13.45
200,0,20.32670212,13.5
200,0,20.10605128,13.55
200,0,19.89649798,13.6
200,0,19.69809804,13.65
200,0,19.51067856,13.7
200,0,19.33436965,13.75
200,0,19.16905494,13.8
200,0,19.01433233,13.85
200,0,18.86925316,13.9
200,0,18.73992738,14.075
200,0,18.6268184,14.25
200,0,18.52719927,14.425
200,0,18.43669128,14.6
200,76.47491965,18.3708099,14.8
200,106.4529094,18.33659417,15
200,190.5055384,18.34205238,15.2
200,270.80698,18.39026885,15.4
200,352.2711771,18.48207179,15.575
200,433.9548818,18.62371869,15.75
200,501.9068236,18.81505128,15.925
200,569.642593,19.04900576,16.1
200,637.0938156,19.32163316,16.325
200,704.1782318,19.49968569,16.55
